4 // Layeranzahl
5 // Layergröße 1
4 // Layergröße 2
3 // Layergröße 3
1 // Layergröße 4
0,0,0,0,0|0.0
0,0,0,0,1|0.1
0,0,0,1,1|0.2
0,0,0,1,0|0.3
0,0,1,1,0 |0.4
0,0,1,1,1 |0.5
0,0,1,0,1 |0.6
0,0,1,0,0 |0.7
0,1,1,0,0 |0.8
0,1,1,0,1 |0.9
0,1,1,1,1 |0.10
0,1,1,1,0 |0.11
0,1,0,1,0 |0.12
0,1,0,1,1 |0.13
0,1,0,0,1 |0.14
0,1,0,0,0 |0.15
1,1,0,0,0 |0.16
1,1,0,0,1 |0.17
1,1,0,1,1 |0.18
1,1,0,1,0 |0.19
1,1,1,1,0 |0.20
1,1,1,1,1 |0.21
1,1,1,0,1 |0.22
1,1,1,0,0 |0.23
1,0,1,0,0 |0.24
1,0,1,0,1 |0.25
1,0,1,1,1 |0.26
1,0,1,1,0 |0.27
1,0,0,1,0 |0.28
1,0,0,1,1 |0.29
1,0,0,0,1 |0.30
1,0,0,0,0 |0.31
