6// Layeranzahl 6
5 // Layergröße 1
12 // Layergröße 2
12 // Layergröße 3
12 // Layergröße 4
16 // Layergröße 5
5 // Layergröße 6
0,0,0,0,0|0,0,0,0,0
0,0,0,0,1|0,0,0,0,1
0,0,0,1,1|0,0,0,1,0
0,0,0,1,0|0,0,0,1,1
0,0,1,1,0|0,0,1,0,0
0,0,1,1,1|0,0,1,0,1
0,0,1,0,1|0,0,1,1,0
0,0,1,0,0|0,0,1,1,1
0,1,1,0,0|0,1,0,0,0
0,1,1,0,1|0,1,0,0,1
0,1,1,1,1|0,1,0,1,0
0,1,1,1,0|0,1,0,1,1
0,1,0,1,0|0,1,1,0,0
0,1,0,1,1|0,1,1,0,1
0,1,0,0,1|0,1,1,1,0
0,1,0,0,0|0,1,1,1,1
1,1,0,0,0|1,0,0,0,0
1,1,0,0,1|1,0,0,0,1
1,1,0,1,1|1,0,0,1,0
1,1,0,1,0|1,0,0,1,1
1,1,1,1,0|1,0,1,0,0
1,1,1,1,1|1,0,1,0,1
1,1,1,0,1|1,0,1,1,0
1,1,1,0,0|1,0,1,1,1
1,0,1,0,0|1,1,0,0,0
1,0,1,0,1|1,1,0,0,1
1,0,1,1,1|1,1,0,1,0
1,0,1,1,0|1,1,0,1,1
1,0,0,1,0|1,1,1,0,0
1,0,0,1,1|1,1,1,0,1
1,0,0,0,1|1,1,1,1,0
1,0,0,0,0|1,1,1,1,1
