10// Layeranzahl 6
5 // Layergröße 1
12 // Layergröße 2
12 // Layergröße 3
12 // Layergröße 4
12 // Layergröße 5
12 // Layergröße 6
12 // Layergröße 7
12 // Layergröße 8
12 // Layergröße 9
5 // Layergröße 10
0,0,0,0,0|0,0,0,0,0
0,0,0,0,1|0,0,0,0,1
0,0,0,1,1|0,0,0,1,0
0,0,0,1,0|0,0,0,1,1
0,0,1,1,0|0,0,1,0,0
0,0,1,1,1|0,0,1,0,1
0,0,1,0,1|0,0,1,1,0
0,0,1,0,0|0,0,1,1,1
0,1,1,0,0|0,1,0,0,0
0,1,1,0,1|0,1,0,0,1
0,1,1,1,1|0,1,0,1,0
0,1,1,1,0|0,1,0,1,1
0,1,0,1,0|0,1,1,0,0
0,1,0,1,1|0,1,1,0,1
0,1,0,0,1|0,1,1,1,0
0,1,0,0,0|0,1,1,1,1
1,1,0,0,0|1,0,0,0,0
1,1,0,0,1|1,0,0,0,1
1,1,0,1,1|1,0,0,1,0
1,1,0,1,0|1,0,0,1,1
1,1,1,1,0|1,0,1,0,0
1,1,1,1,1|1,0,1,0,1
1,1,1,0,1|1,0,1,1,0
1,1,1,0,0|1,0,1,1,1
1,0,1,0,0|1,1,0,0,0
1,0,1,0,1|1,1,0,0,1
1,0,1,1,1|1,1,0,1,0
1,0,1,1,0|1,1,0,1,1
1,0,0,1,0|1,1,1,0,0
1,0,0,1,1|1,1,1,0,1
1,0,0,0,1|1,1,1,1,0
1,0,0,0,0|1,1,1,1,1
